event,action,duration,object,place,from,to,
event0_get_out_of_bed1_scene1,walk,5.52,Bed,Bedroom,None,None,
event1_get_out_of_bed1_scene1,sit,6.002999999999999,Bed,Bedroom,None,None,
event2_get_out_of_bed1_scene1,stand,6.141,None,None,None,None,
event3_get_out_of_bed1_scene1,walk,4.899,Pillow,Bedroom,None,None,
event4_get_out_of_bed1_scene1,grab,3.1049999999999995,Pillow,Bedroom,None,None,
event5_get_out_of_bed1_scene1,put,6.8309999999999995,Pillow,Bedroom,None,None,
event6_get_out_of_bed1_scene1,walk,8.28,Lightswitch,Bedroom,None,None,
event7_get_out_of_bed1_scene1,switchOn,6.693,Lightswitch,Bedroom,None,None,
event8_get_out_of_bed1_scene1,walk,8.072999999999999,Bathroom,None,Bedroom,Bathroom,
event0_turn_on_light6_scene1,walk,6.141,Kitchen,None,Bedroom,Kitchen,
event1_turn_on_light6_scene1,walk,12.144,Livingroom,None,Kitchen,Livingroom,
event2_turn_on_light6_scene1,walk,4.691999999999999,Lightswitch,Livingroom,None,None,
event3_turn_on_light6_scene1,switchOn,3.381,Lightswitch,Livingroom,None,None,
event0_clean_desk4_scene1,walk,4.829999999999999,Desk,Bedroom,None,None,
event1_clean_desk4_scene1,walk,10.556999999999999,Bathroom,None,Bedroom,Bathroom,
event2_clean_desk4_scene1,walk,6.554999999999999,Towel,Bathroom,None,None,
event3_clean_desk4_scene1,grab,3.1049999999999995,Towel,Bathroom,None,None,
event4_clean_desk4_scene1,walk,10.488,Bedroom,None,Bathroom,Bedroom,
event5_clean_desk4_scene1,walk,6.002999999999999,Desk,Bedroom,None,None,
event6_clean_desk4_scene1,turnTo,0.0,Desk,Bedroom,None,None,
event7_clean_desk4_scene1,wipe,18.560999999999996,Towel,Bedroom,None,None,
event0_drink_milk1_scene1,walk,6.072,Kitchen,None,Bedroom,Kitchen,
event1_drink_milk1_scene1,walk,6.623999999999999,Milk,Kitchen,None,None,
event2_drink_milk1_scene1,grab,3.1049999999999995,Milk,Kitchen,None,None,
event3_drink_milk1_scene1,walk,2.001,Kitchentable,Kitchen,None,None,
event4_drink_milk1_scene1,put,3.036,Milk,Kitchen,None,None,
event5_drink_milk1_scene1,walk,4.760999999999999,Waterglass,Kitchen,None,None,
event6_drink_milk1_scene1,grab,3.1049999999999995,Waterglass,Kitchen,None,None,
event7_drink_milk1_scene1,walk,5.451,Kitchentable,Kitchen,None,None,
event8_drink_milk1_scene1,put,3.036,Waterglass,Kitchen,None,None,
event9_drink_milk1_scene1,walk,2.07,Milk,Kitchen,None,None,
event10_drink_milk1_scene1,grab,3.1049999999999995,Milk,Kitchen,None,None,
event11_drink_milk1_scene1,walk,0.0,Waterglass,Kitchen,None,None,
event12_drink_milk1_scene1,pour,15.800999999999998,Milk,Kitchen,None,None,
event13_drink_milk1_scene1,grab,3.1049999999999995,Waterglass,Kitchen,None,None,
event14_drink_milk1_scene1,drink,10.694999999999999,Waterglass,Kitchen,None,None,
event15_drink_milk1_scene1,put,6.209999999999999,Waterglass,Kitchen,None,None,
event16_drink_milk1_scene1,grab,3.1049999999999995,Waterglass,Kitchen,None,None,
event17_drink_milk1_scene1,drink,9.521999999999998,Waterglass,Kitchen,None,None,
event18_drink_milk1_scene1,put,9.315,Waterglass,Kitchen,None,None,
event19_drink_milk1_scene1,drink,9.521999999999998,Milk,Kitchen,None,None,
event0_turn_on_light5_scene1,walk,9.246,Bedroom,None,Bathroom,Bedroom,
event1_turn_on_light5_scene1,walk,9.315,Kitchen,None,Bedroom,Kitchen,
event2_turn_on_light5_scene1,walk,3.5879999999999996,Lightswitch,Kitchen,None,None,
event3_turn_on_light5_scene1,switchOn,3.381,Lightswitch,Kitchen,None,None,
event0_put_away_groceries_from_fridge1_scene1,walk,8.142,Fridge,Kitchen,None,None,
event1_put_away_groceries_from_fridge1_scene1,open,3.381,Fridge,Kitchen,None,None,
event2_put_away_groceries_from_fridge1_scene1,find,3.1049999999999995,Alcohol,Kitchen,None,None,
event3_put_away_groceries_from_fridge1_scene1,grab,8.625,Alcohol,Kitchen,None,None,
event4_put_away_groceries_from_fridge1_scene1,walk,3.036,Kitchentable,Kitchen,None,None,
event5_put_away_groceries_from_fridge1_scene1,put,7.935,Alcohol,Kitchen,None,None,
event6_put_away_groceries_from_fridge1_scene1,walk,3.1049999999999995,Fridge,Kitchen,None,None,
event7_put_away_groceries_from_fridge1_scene1,find,3.3119999999999994,Wine,Kitchen,None,None,
event8_put_away_groceries_from_fridge1_scene1,grab,7.796999999999999,Wine,Kitchen,None,None,
event9_put_away_groceries_from_fridge1_scene1,close,3.036,Fridge,Kitchen,None,None,
event0_workout1_scene1,walk,10.211999999999998,Bedroom,None,Bathroom,Bedroom,
event1_workout1_scene1,walk,8.487,Kitchen,None,Bedroom,Kitchen,
event2_workout1_scene1,walk,12.419999999999998,Livingroom,None,Kitchen,Livingroom,
event3_workout1_scene1,stretch,22.907999999999998,None,None,None,None,
event4_workout1_scene1,stretch,21.459,None,None,None,None,
event5_workout1_scene1,stretch,21.459,None,None,None,None,
event6_workout1_scene1,legopp,20.630999999999997,None,None,None,None,
event7_workout1_scene1,legopp,20.561999999999998,None,None,None,None,
event8_workout1_scene1,legopp,20.561999999999998,None,None,None,None,
event9_workout1_scene1,straddle,15.87,None,None,None,None,
event10_workout1_scene1,straddle,15.800999999999998,None,None,None,None,
event11_workout1_scene1,straddle,15.87,None,None,None,None,
event12_workout1_scene1,squat,6.141,None,None,None,None,
