event,action,duration,object,place,from,to,
event0_place_wineglass1_scene2,walk,7.037999999999999,Wineglass,Kitchen,None,None,
event1_place_wineglass1_scene2,grab,3.1049999999999995,Wineglass,Kitchen,None,None,
event2_place_wineglass1_scene2,walk,2.484,Kitchentable,Kitchen,None,None,
event3_place_wineglass1_scene2,put,3.036,Wineglass,Kitchen,None,None,
event0_cook_fried_bread4_scene2,walk,12.350999999999999,Kitchen,None,Livingroom,Kitchen,
event1_cook_fried_bread4_scene2,walk,4.2780000000000005,Breadslice,Kitchen,None,None,
event2_cook_fried_bread4_scene2,grab,3.1049999999999995,Breadslice,Kitchen,None,None,
event3_cook_fried_bread4_scene2,walk,3.933,Fryingpan,Kitchen,None,None,
event4_cook_fried_bread4_scene2,put,3.036,Breadslice,Kitchen,None,None,
event5_cook_fried_bread4_scene2,switchOn,3.3119999999999994,Stove,Kitchen,None,None,
event6_cook_fried_bread4_scene2,walk,6.141,Milk,Kitchen,None,None,
event7_cook_fried_bread4_scene2,grab,3.1049999999999995,Milk,Kitchen,None,None,
event8_cook_fried_bread4_scene2,walk,6.002999999999999,Fryingpan,Kitchen,None,None,
event9_cook_fried_bread4_scene2,pour,16.008,Milk,Kitchen,None,None,
event10_cook_fried_bread4_scene2,switchOff,3.3119999999999994,Stove,Kitchen,None,None,
event0_walk_with_memory_loss5_scene2,walk,7.866,Kitchen,None,Bedroom,Kitchen,
event1_walk_with_memory_loss5_scene2,walk,7.245,Kitchentable,Kitchen,None,None,
event2_walk_with_memory_loss5_scene2,walk,6.141,Fridge,Kitchen,None,None,
event3_walk_with_memory_loss5_scene2,walk,7.037999999999999,Kitchentable,Kitchen,None,None,
event0_eat_bread_while_watching_television3_scene2,walk,6.072,Tv,Livingroom,None,None,
event1_eat_bread_while_watching_television3_scene2,switchOn,6.693,Tv,Livingroom,None,None,
event2_eat_bread_while_watching_television3_scene2,walk,6.141,Remotecontrol,Livingroom,None,None,
event3_eat_bread_while_watching_television3_scene2,grab,3.1049999999999995,Remotecontrol,Livingroom,None,None,
event4_eat_bread_while_watching_television3_scene2,walk,12.005999999999998,Kitchen,None,Livingroom,Kitchen,
event5_eat_bread_while_watching_television3_scene2,walk,4.002,Breadslice,Kitchen,None,None,
event6_eat_bread_while_watching_television3_scene2,grab,3.1049999999999995,Breadslice,Kitchen,None,None,
event7_eat_bread_while_watching_television3_scene2,walk,11.937,Livingroom,None,Kitchen,Livingroom,
event8_eat_bread_while_watching_television3_scene2,walk,5.105999999999999,Sofa,Livingroom,None,None,
event9_eat_bread_while_watching_television3_scene2,sit,8.831999999999999,Sofa,Livingroom,None,None,
event10_eat_bread_while_watching_television3_scene2,eat,11.453999999999999,Breadslice,Livingroom,None,None,
event11_eat_bread_while_watching_television3_scene2,stand,8.487,None,None,None,None,
event12_eat_bread_while_watching_television3_scene2,walk,7.106999999999999,Tv,Livingroom,None,None,
event13_eat_bread_while_watching_television3_scene2,find,3.036,Tvstand,Livingroom,None,None,
event14_eat_bread_while_watching_television3_scene2,put,1.449,Remotecontrol,Livingroom,None,None,
event15_eat_bread_while_watching_television3_scene2,switchOff,3.3119999999999994,Tv,Livingroom,None,None,
event0_cook_potato_using_stove1_scene2,walk,9.107999999999999,Kitchen,None,Livingroom,Kitchen,
event1_cook_potato_using_stove1_scene2,walk,8.072999999999999,Potato,Kitchen,None,None,
event2_cook_potato_using_stove1_scene2,grab,3.1049999999999995,Potato,Kitchen,None,None,
event3_cook_potato_using_stove1_scene2,walk,7.659,Sink,Kitchen,None,None,
event4_cook_potato_using_stove1_scene2,switchOn,3.381,Faucet,Kitchen,None,None,
event5_cook_potato_using_stove1_scene2,soak,14.765999999999998,Potato,Kitchen,None,None,
event6_cook_potato_using_stove1_scene2,switchOff,3.4499999999999997,Faucet,Kitchen,None,None,
event7_cook_potato_using_stove1_scene2,walk,6.8309999999999995,Fryingpan,Kitchen,None,None,
event8_cook_potato_using_stove1_scene2,put,3.036,Potato,Kitchen,None,None,
event9_cook_potato_using_stove1_scene2,walk,6.554999999999999,Milk,Kitchen,None,None,
event10_cook_potato_using_stove1_scene2,grab,3.1049999999999995,Milk,Kitchen,None,None,
event11_cook_potato_using_stove1_scene2,walk,7.037999999999999,Fryingpan,Kitchen,None,None,
event12_cook_potato_using_stove1_scene2,pour,15.87,Milk,Kitchen,None,None,
event13_cook_potato_using_stove1_scene2,switchOn,3.3119999999999994,Stove,Kitchen,None,None,
event14_cook_potato_using_stove1_scene2,switchOff,3.3119999999999994,Stove,Kitchen,None,None,
event0_do_work_on_computer1_scene2,walk,6.348,Computer,Bedroom,None,None,
event1_do_work_on_computer1_scene2,switchOn,6.623999999999999,Computer,Bedroom,None,None,
event2_do_work_on_computer1_scene2,sit,9.246,Chair,Bedroom,None,None,
event3_do_work_on_computer1_scene2,type,19.665,Keyboard,Bedroom,None,None,
event4_do_work_on_computer1_scene2,stand,9.591,None,None,None,None,
event5_do_work_on_computer1_scene2,walk,0.0,Kitchen,Kitchen,None,None,
