event,action,duration,object,place,from,to,
event0_cook_potato_using_microwave1_scene2,walk,8.625,Kitchen,None,Livingroom,Kitchen,
event1_cook_potato_using_microwave1_scene2,walk,8.763,Potato,Kitchen,None,None,
event2_cook_potato_using_microwave1_scene2,grab,3.1049999999999995,Potato,Kitchen,None,None,
event3_cook_potato_using_microwave1_scene2,walk,8.004,Sink,Kitchen,None,None,
event4_cook_potato_using_microwave1_scene2,switchOn,4.209,Faucet,Kitchen,None,None,
event5_cook_potato_using_microwave1_scene2,soak,13.661999999999999,Potato,Kitchen,None,None,
event6_cook_potato_using_microwave1_scene2,switchOff,3.4499999999999997,Faucet,Kitchen,None,None,
event7_cook_potato_using_microwave1_scene2,walk,6.486,Microwave,Kitchen,None,None,
event8_cook_potato_using_microwave1_scene2,open,3.3119999999999994,Microwave,Kitchen,None,None,
event9_cook_potato_using_microwave1_scene2,putIn,3.036,Potato,Kitchen,None,None,
event10_cook_potato_using_microwave1_scene2,close,3.3119999999999994,Microwave,Kitchen,None,None,
event11_cook_potato_using_microwave1_scene2,switchOn,5.6579999999999995,Microwave,Kitchen,None,None,
event12_cook_potato_using_microwave1_scene2,switchOff,3.381,Microwave,Kitchen,None,None,
event0_do_research_on_computer1_scene2,walk,10.556999999999999,Bedroom,None,Kitchen,Bedroom,
event1_do_research_on_computer1_scene2,walk,3.8639999999999994,Book,Bedroom,None,None,
event2_do_research_on_computer1_scene2,grab,3.1049999999999995,Book,Bedroom,None,None,
event3_do_research_on_computer1_scene2,walk,8.142,Desk,Bedroom,None,None,
event4_do_research_on_computer1_scene2,read,13.592999999999998,Book,Bedroom,None,None,
event5_do_research_on_computer1_scene2,walk,4.002,Paper,Bedroom,None,None,
event6_do_research_on_computer1_scene2,grab,3.1049999999999995,Paper,Bedroom,None,None,
event7_do_research_on_computer1_scene2,walk,3.5189999999999997,Desk,Bedroom,None,None,
event8_do_research_on_computer1_scene2,put,3.036,Book,Bedroom,None,None,
event9_do_research_on_computer1_scene2,walk,1.1039999999999999,Chair,Bedroom,None,None,
event10_do_research_on_computer1_scene2,sit,7.106999999999999,Chair,Bedroom,None,None,
event11_do_research_on_computer1_scene2,write,10.419,Paper,Bedroom,None,None,
event12_do_research_on_computer1_scene2,stand,8.487,None,None,None,None,
event13_do_research_on_computer1_scene2,walk,2.898,Desk,Bedroom,None,None,
event14_do_research_on_computer1_scene2,put,3.036,Paper,Bedroom,None,None,
event15_do_research_on_computer1_scene2,walk,4.829999999999999,Computer,Bedroom,None,None,
event16_do_research_on_computer1_scene2,switchOn,3.381,Computer,Bedroom,None,None,
event17_do_research_on_computer1_scene2,sit,10.902,Chair,Bedroom,None,None,
event18_do_research_on_computer1_scene2,type,19.043999999999997,Keyboard,Bedroom,None,None,
event19_do_research_on_computer1_scene2,stand,5.52,None,None,None,None,
event20_do_research_on_computer1_scene2,switchOff,8.901,Computer,Bedroom,None,None,
event21_do_research_on_computer1_scene2,walk,7.59,Sofa,Bedroom,None,None,
event22_do_research_on_computer1_scene2,sit,7.313999999999999,Sofa,Bedroom,None,None,
event0_make_bed1_scene2,walk,10.211999999999998,Bed,Bedroom,None,None,
event1_make_bed1_scene2,walk,9.107999999999999,Pillow,Bedroom,None,None,
event2_make_bed1_scene2,grab,3.1049999999999995,Pillow,Bedroom,None,None,
event3_make_bed1_scene2,throw,10.764,Pillow,Bedroom,None,None,
event4_make_bed1_scene2,shake,14.627999999999998,Pillow,Bedroom,None,None,
event5_make_bed1_scene2,put,6.348,Pillow,Bedroom,None,None,
event6_make_bed1_scene2,walk,10.556999999999999,Kitchen,None,Bedroom,Kitchen,
event0_cook_carrot1_scene2,walk,12.419999999999998,Kitchen,None,Livingroom,Kitchen,
event1_cook_carrot1_scene2,walk,5.726999999999999,Carrot,Kitchen,None,None,
event2_cook_carrot1_scene2,grab,3.1049999999999995,Carrot,Kitchen,None,None,
event3_cook_carrot1_scene2,walk,6.623999999999999,Sink,Kitchen,None,None,
event4_cook_carrot1_scene2,switchOn,4.623,Faucet,Kitchen,None,None,
event5_cook_carrot1_scene2,soak,15.386999999999999,Carrot,Kitchen,None,None,
event6_cook_carrot1_scene2,switchOff,3.4499999999999997,Faucet,Kitchen,None,None,
event7_cook_carrot1_scene2,walk,6.968999999999999,Fryingpan,Kitchen,None,None,
event8_cook_carrot1_scene2,put,3.036,Carrot,Kitchen,None,None,
event9_cook_carrot1_scene2,switchOn,3.3119999999999994,Stove,Kitchen,None,None,
event10_cook_carrot1_scene2,switchOff,3.3119999999999994,Stove,Kitchen,None,None,
event0_put_groceries_in_fridge16_scene2,walk,9.453,Chicken,Kitchen,None,None,
event1_put_groceries_in_fridge16_scene2,grab,3.1049999999999995,Chicken,Kitchen,None,None,
event2_put_groceries_in_fridge16_scene2,walk,3.795,Sink,Kitchen,None,None,
event3_put_groceries_in_fridge16_scene2,switchOn,5.933999999999999,Faucet,Kitchen,None,None,
event4_put_groceries_in_fridge16_scene2,soak,14.213999999999999,Chicken,Kitchen,None,None,
event5_put_groceries_in_fridge16_scene2,rinse,16.422,Chicken,Kitchen,None,None,
event6_put_groceries_in_fridge16_scene2,switchOff,3.4499999999999997,Faucet,Kitchen,None,None,
event7_put_groceries_in_fridge16_scene2,walk,5.796,Fridge,Kitchen,None,None,
event8_put_groceries_in_fridge16_scene2,open,3.3119999999999994,Fridge,Kitchen,None,None,
event9_put_groceries_in_fridge16_scene2,turnTo,0.0,Fridge,Kitchen,None,None,
event10_put_groceries_in_fridge16_scene2,putIn,3.036,Chicken,Kitchen,None,None,
event11_put_groceries_in_fridge16_scene2,close,3.3119999999999994,Fridge,Kitchen,None,None,
event0_set_up_table1_scene2,walk,9.453,Plate,Kitchen,None,None,
event1_set_up_table1_scene2,grab,3.1049999999999995,Plate,Kitchen,None,None,
event2_set_up_table1_scene2,walk,7.796999999999999,Waterglass,Kitchen,None,None,
event3_set_up_table1_scene2,grab,3.1049999999999995,Waterglass,Kitchen,None,None,
event4_set_up_table1_scene2,walk,3.7259999999999995,Kitchentable,Kitchen,None,None,
event5_set_up_table1_scene2,put,3.036,Plate,Kitchen,None,None,
event6_set_up_table1_scene2,put,3.036,Waterglass,Kitchen,None,None,
event7_set_up_table1_scene2,walk,7.866,Cutleryknife,Kitchen,None,None,
