event,action,duration,object,place,from,to,
event0_get_out_of_bed1_scene1,walk,5.52,Bed,Bedroom,None,None,
event1_get_out_of_bed1_scene1,sit,6.002999999999999,Bed,Bedroom,None,None,
event2_get_out_of_bed1_scene1,stand,6.141,None,None,None,None,
event3_get_out_of_bed1_scene1,walk,4.899,Pillow,Bedroom,None,None,
event4_get_out_of_bed1_scene1,grab,3.1049999999999995,Pillow,Bedroom,None,None,
event5_get_out_of_bed1_scene1,put,6.8309999999999995,Pillow,Bedroom,None,None,
event6_get_out_of_bed1_scene1,walk,8.28,Lightswitch,Bedroom,None,None,
event7_get_out_of_bed1_scene1,switchOn,6.693,Lightswitch,Bedroom,None,None,
event8_get_out_of_bed1_scene1,walk,8.072999999999999,Bathroom,None,Bedroom,Bathroom,
event0_cook_fried_bread4_scene1,walk,13.799999999999999,Kitchen,None,Livingroom,Kitchen,
event1_cook_fried_bread4_scene1,walk,5.933999999999999,Breadslice,Kitchen,None,None,
event2_cook_fried_bread4_scene1,grab,3.1049999999999995,Breadslice,Kitchen,None,None,
event3_cook_fried_bread4_scene1,walk,3.8639999999999994,Fryingpan,Kitchen,None,None,
event4_cook_fried_bread4_scene1,put,3.036,Breadslice,Kitchen,None,None,
event5_cook_fried_bread4_scene1,switchOn,3.3119999999999994,Stove,Kitchen,None,None,
event6_cook_fried_bread4_scene1,walk,5.864999999999999,Milk,Kitchen,None,None,
event7_cook_fried_bread4_scene1,grab,3.1049999999999995,Milk,Kitchen,None,None,
event8_cook_fried_bread4_scene1,walk,5.175,Fryingpan,Kitchen,None,None,
event9_cook_fried_bread4_scene1,pour,16.076999999999998,Milk,Kitchen,None,None,
event10_cook_fried_bread4_scene1,switchOff,3.3119999999999994,Stove,Kitchen,None,None,
event0_turn_on_light5_scene1,walk,9.246,Bedroom,None,Bathroom,Bedroom,
event1_turn_on_light5_scene1,walk,9.315,Kitchen,None,Bedroom,Kitchen,
event2_turn_on_light5_scene1,walk,3.5879999999999996,Lightswitch,Kitchen,None,None,
event3_turn_on_light5_scene1,switchOn,3.381,Lightswitch,Kitchen,None,None,
event0_relax_on_bed1_scene1,walk,12.972,Kitchen,None,Livingroom,Kitchen,
event1_relax_on_bed1_scene1,walk,9.177,Bedroom,None,Kitchen,Bedroom,
event2_relax_on_bed1_scene1,walk,2.1390000000000002,Bed,Bedroom,None,None,
event3_relax_on_bed1_scene1,sit,6.762,Bed,Bedroom,None,None,
event0_go_to_sleep1_scene1,walk,7.796999999999999,Bedroom,None,Bathroom,Bedroom,
event1_go_to_sleep1_scene1,walk,7.727999999999999,Lightswitch,Bedroom,None,None,
event2_go_to_sleep1_scene1,switchOff,3.381,Lightswitch,Bedroom,None,None,
event3_go_to_sleep1_scene1,walk,6.417,Bed,Bedroom,None,None,
event4_go_to_sleep1_scene1,sit,7.175999999999999,Bed,Bedroom,None,None,
event0_clean_fridge1_scene1,walk,4.209,Fridge,Kitchen,None,None,
event1_clean_fridge1_scene1,walk,4.14,Washingsponge,Kitchen,None,None,
event2_clean_fridge1_scene1,grab,3.1049999999999995,Washingsponge,Kitchen,None,None,
event3_clean_fridge1_scene1,walk,5.313,Fridge,Kitchen,None,None,
event4_clean_fridge1_scene1,open,3.3119999999999994,Fridge,Kitchen,None,None,
event5_clean_fridge1_scene1,wipe,18.215999999999998,Washingsponge,Kitchen,None,None,
event6_clean_fridge1_scene1,close,3.3119999999999994,Fridge,Kitchen,None,None,
event7_clean_fridge1_scene1,wipe,19.596,Washingsponge,Kitchen,None,None,
