event,action,duration,object,place,from,to,
event0_get_out_of_bed1_scene1,walk,5.52,Bed,Bedroom,None,None,
event1_get_out_of_bed1_scene1,sit,6.002999999999999,Bed,Bedroom,None,None,
event2_get_out_of_bed1_scene1,stand,6.141,None,None,None,None,
event3_get_out_of_bed1_scene1,walk,4.899,Pillow,Bedroom,None,None,
event4_get_out_of_bed1_scene1,grab,3.1049999999999995,Pillow,Bedroom,None,None,
event5_get_out_of_bed1_scene1,put,6.8309999999999995,Pillow,Bedroom,None,None,
event6_get_out_of_bed1_scene1,walk,8.28,Lightswitch,Bedroom,None,None,
event7_get_out_of_bed1_scene1,switchOn,6.693,Lightswitch,Bedroom,None,None,
event8_get_out_of_bed1_scene1,walk,8.072999999999999,Bathroom,None,Bedroom,Bathroom,
event0_clear_table1_scene1,walk,7.382999999999999,Wine,Kitchen,None,None,
event1_clear_table1_scene1,grab,3.1049999999999995,Wine,Kitchen,None,None,
event2_clear_table1_scene1,walk,6.072,Fridge,Kitchen,None,None,
event3_clear_table1_scene1,open,3.3119999999999994,Fridge,Kitchen,None,None,
event4_clear_table1_scene1,putIn,3.036,Wine,Kitchen,None,None,
event5_clear_table1_scene1,close,3.3119999999999994,Fridge,Kitchen,None,None,
event6_clear_table1_scene1,walk,5.037,Plate,Kitchen,None,None,
event7_clear_table1_scene1,grab,3.1049999999999995,Plate,Kitchen,None,None,
event8_clear_table1_scene1,walk,5.313,Sink,Kitchen,None,None,
event9_clear_table1_scene1,put,3.036,Plate,Kitchen,None,None,
event10_clear_table1_scene1,walk,5.313,Cutleryfork,Kitchen,None,None,
event11_clear_table1_scene1,grab,3.1049999999999995,Cutleryfork,Kitchen,None,None,
event12_clear_table1_scene1,walk,3.4499999999999997,Cutleryknife,Kitchen,None,None,
event13_clear_table1_scene1,grab,3.1049999999999995,Cutleryknife,Kitchen,None,None,
event14_clear_table1_scene1,walk,6.762,Sink,Kitchen,None,None,
event15_clear_table1_scene1,put,3.036,Cutleryfork,Kitchen,None,None,
event16_clear_table1_scene1,put,3.036,Cutleryknife,Kitchen,None,None,
event17_clear_table1_scene1,walk,6.693,Waterglass,Kitchen,None,None,
event18_clear_table1_scene1,grab,3.1049999999999995,Waterglass,Kitchen,None,None,
event19_clear_table1_scene1,walk,5.313,Wineglass,Kitchen,None,None,
event20_clear_table1_scene1,grab,3.1049999999999995,Wineglass,Kitchen,None,None,
event21_clear_table1_scene1,walk,7.59,Sink,Kitchen,None,None,
event22_clear_table1_scene1,put,3.036,Waterglass,Kitchen,None,None,
event23_clear_table1_scene1,put,3.036,Wineglass,Kitchen,None,None,
event24_clear_table1_scene1,walk,11.315999999999999,Bedroom,None,Kitchen,Bedroom,
event25_clear_table1_scene1,walk,9.453,Bathroom,None,Bedroom,Bathroom,
event26_clear_table1_scene1,walk,6.002999999999999,Towel,Bathroom,None,None,
event27_clear_table1_scene1,grab,3.1049999999999995,Towel,Bathroom,None,None,
event28_clear_table1_scene1,walk,10.142999999999999,Bedroom,None,Bathroom,Bedroom,
event29_clear_table1_scene1,walk,9.107999999999999,Kitchen,None,Bedroom,Kitchen,
event30_clear_table1_scene1,walk,6.417,Kitchentable,Kitchen,None,None,
event31_clear_table1_scene1,wipe,18.077999999999996,Towel,Kitchen,None,None,
event0_turn_off_light8_scene1,walk,10.488,Bathroom,None,Bedroom,Bathroom,
event1_turn_off_light8_scene1,walk,5.313,Lightswitch,Bathroom,None,None,
event2_turn_off_light8_scene1,switchOff,6.693,Lightswitch,Bathroom,None,None,
event3_turn_off_light8_scene1,walk,7.313999999999999,Bedroom,None,Bathroom,Bedroom,
event0_make_bed1_scene1,walk,8.072999999999999,Bed,Bedroom,None,None,
event1_make_bed1_scene1,walk,2.898,Pillow,Bedroom,None,None,
event2_make_bed1_scene1,grab,3.1049999999999995,Pillow,Bedroom,None,None,
event3_make_bed1_scene1,throw,10.764,Pillow,Bedroom,None,None,
event4_make_bed1_scene1,shake,14.559,Pillow,Bedroom,None,None,
event5_make_bed1_scene1,put,6.141,Pillow,Bedroom,None,None,
event6_make_bed1_scene1,walk,9.315,Kitchen,None,Bedroom,Kitchen,
event0_workout1_scene1,walk,10.211999999999998,Bedroom,None,Bathroom,Bedroom,
event1_workout1_scene1,walk,8.487,Kitchen,None,Bedroom,Kitchen,
event2_workout1_scene1,walk,12.419999999999998,Livingroom,None,Kitchen,Livingroom,
event3_workout1_scene1,stretch,22.907999999999998,None,None,None,None,
event4_workout1_scene1,stretch,21.459,None,None,None,None,
event5_workout1_scene1,stretch,21.459,None,None,None,None,
event6_workout1_scene1,legopp,20.630999999999997,None,None,None,None,
event7_workout1_scene1,legopp,20.561999999999998,None,None,None,None,
event8_workout1_scene1,legopp,20.561999999999998,None,None,None,None,
event9_workout1_scene1,straddle,15.87,None,None,None,None,
event10_workout1_scene1,straddle,15.800999999999998,None,None,None,None,
event11_workout1_scene1,straddle,15.87,None,None,None,None,
event12_workout1_scene1,squat,6.141,None,None,None,None,
event13_workout1_scene1,squat,5.864999999999999,None,None,None,None,
event14_workout1_scene1,squat,5.864999999999999,None,None,None,None,
event15_workout1_scene1,squat,5.796,None,None,None,None,
event16_workout1_scene1,jump,9.107999999999999,None,None,None,None,
event17_workout1_scene1,squat,5.175,None,None,None,None,
event18_workout1_scene1,jump,9.246,None,None,None,None,
event19_workout1_scene1,squat,5.105999999999999,None,None,None,None,
event20_workout1_scene1,jump,9.107999999999999,None,None,None,None,
